employment_history_id,employee_id,employee_name,department,position,employment_type,start_date,end_date
240,175,Frank Rodriguez,Information Technology,Data Analyst,Temporary,2025-10-20,
253,185,Carol Marshall,Information Technology,Data Analyst,Temporary,2025-01-11,
264,193,Amanda Jordan,Information Technology,Data Analyst,Part-Time,2022-03-23,
271,197,Michael Bennett,Information Technology,Data Analyst,Part-Time,2024-10-12,
295,216,Jeffrey Brooks,Information Technology,Data Analyst,Part-Time,2021-11-20,
305,223,Thomas Wagner,Information Technology,Data Analyst,Temporary,2027-01-19,
309,226,Derek Simon,Information Technology,Data Analyst,Contract,2024-04-03,
316,230,Laurie Morton,Information Technology,Data Analyst,Contract,2023-08-25,
324,236,David Sanchez,Information Technology,Data Analyst,Temporary,2025-04-22,
355,261,Monica Mcbride,Information Technology,Data Analyst,Full-Time,2023-01-04,
373,274,Joshua Reid,Information Technology,Data Analyst,Part-Time,2024-05-02,
387,283,Cheryl Mckinney,Information Technology,Data Analyst,Part-Time,2026-12-14,
422,309,Maxwell Soto,Information Technology,Data Analyst,Contract,2026-03-17,
423,310,Christian Cowan,Information Technology,Data Analyst,Full-Time,2026-09-27,
436,319,Michael Bush,Information Technology,Data Analyst,Full-Time,2022-05-04,
448,328,Erica Parker,Information Technology,Data Analyst,Contract,2028-03-03,
456,334,Jacob Hernandez,Information Technology,Data Analyst,Full-Time,2028-08-20,
463,338,Scott White,Information Technology,Data Analyst,Part-Time,2026-03-10,
466,340,Jessica Black,Information Technology,Data Analyst,Temporary,2023-07-02,
500,362,Daniel Cox,Information Technology,Data Analyst,Contract,2025-03-21,
547,396,Michelle Anderson,Information Technology,Data Analyst,Part-Time,2024-12-01,
548,397,Mary Tucker,Information Technology,Data Analyst,Part-Time,2021-04-07,
553,401,Richard Hayes,Information Technology,Data Analyst,Contract,2022-09-29,
560,405,David Freeman,Information Technology,Data Analyst,Contract,2025-12-07,
564,408,Francisco Norris,Information Technology,Data Analyst,Part-Time,2026-01-16,
568,412,Kenneth Smith,Information Technology,Data Analyst,Temporary,2022-02-10,
587,426,Kenneth Clark,Information Technology,Data Analyst,Contract,2024-08-23,
598,434,Jennifer Horne,Information Technology,Data Analyst,Part-Time,2021-09-11,
629,454,Stephanie Espinoza,Information Technology,Data Analyst,Contract,2021-12-24,
653,471,Sara Chambers,Information Technology,Data Analyst,Temporary,2026-11-02,
676,489,William Gordon,Information Technology,Data Analyst,Contract,2025-08-14,
2,1,Kevin Miller,Finance,Financial Analyst,Contract,2020-01-02,
6,5,Tricia Stephens,Finance,Financial Analyst,Full-Time,2017-06-22,
13,10,Jill Romero,Finance,Financial Analyst,Temporary,2020-02-16,
20,16,Michael Shaffer,Finance,Financial Analyst,Full-Time,2019-01-04,
25,19,Alicia Fisher,Finance,Financial Analyst,Part-Time,2018-11-21,
33,25,Desiree Medina,Finance,Financial Analyst,Contract,2021-10-19,
35,27,Luke Malone,Finance,Financial Analyst,Contract,2020-01-01,
36,28,Victor Roth,Finance,Financial Analyst,Temporary,2025-06-21,
43,32,Brian Roberts,Finance,Financial Analyst,Temporary,2020-03-19,
47,35,Craig Nelson,Finance,Financial Analyst,Part-Time,2023-04-29,
56,42,Thomas Lee,Finance,Financial Analyst,Full-Time,2024-08-01,
72,54,Evelyn Burton,Finance,Financial Analyst,Part-Time,2025-06-24,
83,62,Leslie Carter,Finance,Financial Analyst,Contract,2024-09-27,
99,73,Mike Henry,Finance,Financial Analyst,Full-Time,2020-10-24,
108,81,Ronald Dunlap,Finance,Financial Analyst,Full-Time,2026-01-27,
119,89,Ruben Summers,Finance,Financial Analyst,Part-Time,2024-07-05,
125,94,Lisa Marsh,Finance,Financial Analyst,Part-Time,2021-06-14,
127,96,Courtney Martin,Finance,Financial Analyst,Part-Time,2022-08-21,
133,100,Courtney Smith,Finance,Financial Analyst,Full-Time,2024-12-29,
155,115,Kevin Simon,Finance,Financial Analyst,Temporary,2024-06-12,
166,122,Jared Holt,Finance,Financial Analyst,Full-Time,2021-09-26,
190,140,Tyler Taylor,Finance,Financial Analyst,Temporary,2026-07-08,
191,141,Daniel Lamb,Finance,Financial Analyst,Contract,2024-04-25,
195,144,John Buchanan,Finance,Financial Analyst,Part-Time,2026-10-12,
203,149,Kelly Wu,Finance,Financial Analyst,Contract,2027-10-14,
204,150,Kenneth Fields,Finance,Financial Analyst,Temporary,2023-06-22,
209,154,Deborah Baker,Finance,Financial Analyst,Temporary,2022-11-19,
212,156,Deanna Meyers,Finance,Financial Analyst,Part-Time,2022-06-12,
216,159,Eric Avila,Finance,Financial Analyst,Temporary,2028-03-12,
238,174,Richard Mckinney,Finance,Financial Analyst,Full-Time,2023-09-18,
242,177,Sean Frost,Finance,Financial Analyst,Full-Time,2022-10-26,
244,178,Michelle Brewer,Finance,Financial Analyst,Contract,2027-09-02,
248,181,Gregory Davis,Finance,Financial Analyst,Temporary,2024-09-23,
252,184,Benjamin Cox,Finance,Financial Analyst,Full-Time,2023-03-18,
265,194,Robert Lopez,Finance,Financial Analyst,Part-Time,2021-07-08,
267,195,Danielle Price,Finance,Financial Analyst,Part-Time,2025-08-30,
280,204,Jonathan Gibson,Finance,Financial Analyst,Contract,2023-07-09,
292,214,Amy Avila,Finance,Financial Analyst,Part-Time,2023-01-15,
297,217,Patricia Meyer,Finance,Financial Analyst,Full-Time,2022-11-29,
303,222,Brandon Armstrong,Finance,Financial Analyst,Contract,2023-08-26,
313,228,Samuel Rodriguez,Finance,Financial Analyst,Full-Time,2028-06-25,
319,233,Erin Branch,Finance,Financial Analyst,Contract,2020-09-07,
329,239,Shannon Padilla,Finance,Financial Analyst,Temporary,2022-08-18,
333,242,Heather Yang,Finance,Financial Analyst,Temporary,2021-04-29,
354,260,Jeremy Cooper,Finance,Financial Analyst,Temporary,2022-07-10,
367,270,Angela Lynch,Finance,Financial Analyst,Full-Time,2020-09-29,
375,275,Andrew Wagner,Finance,Financial Analyst,Full-Time,2026-08-16,
378,277,Amy Higgins,Finance,Financial Analyst,Contract,2025-09-07,
380,278,Ryan Herrera,Finance,Financial Analyst,Contract,2022-06-10,
383,280,Pamela Smith,Finance,Financial Analyst,Contract,2025-01-25,
386,282,Andrew Gutierrez,Finance,Financial Analyst,Temporary,2024-05-04,
390,285,Thomas Washington,Finance,Financial Analyst,Contract,2027-05-18,
394,288,Kenneth Cervantes,Finance,Financial Analyst,Contract,2026-09-24,
398,291,Linda Patterson,Finance,Financial Analyst,Contract,2022-11-15,
409,298,Robert Fisher,Finance,Financial Analyst,Part-Time,2021-06-24,
411,300,Kevin Becker,Finance,Financial Analyst,Temporary,2020-07-13,
412,301,Scott Soto,Finance,Financial Analyst,Contract,2024-04-16,
421,308,Jeremy Tucker,Finance,Financial Analyst,Contract,2024-03-08,
424,311,Nathan Wiley,Finance,Financial Analyst,Temporary,2020-04-23,
439,322,John Carpenter,Finance,Financial Analyst,Full-Time,2022-08-13,
442,324,Kathy Ross,Finance,Financial Analyst,Part-Time,2025-03-16,
449,329,Jeremy Rodriguez,Finance,Financial Analyst,Temporary,2025-07-05,
453,332,Jason Williams,Finance,Financial Analyst,Full-Time,2023-09-20,
454,333,Jill Bridges,Finance,Financial Analyst,Full-Time,2020-12-23,
467,341,Rebecca Pierce,Finance,Financial Analyst,Temporary,2025-08-08,
469,342,Michael Williams,Finance,Financial Analyst,Full-Time,2022-09-03,
471,343,Sierra Trevino,Finance,Financial Analyst,Contract,2022-11-28,
474,345,Loretta Sanders,Finance,Financial Analyst,Contract,2022-08-15,
481,350,Julie Bowers,Finance,Financial Analyst,Contract,2021-04-28,
482,351,Jared Tate,Finance,Financial Analyst,Temporary,2022-06-24,
489,355,Roy Cross,Finance,Financial Analyst,Full-Time,2020-04-08,
504,365,Alexander Thornton,Finance,Financial Analyst,Contract,2026-04-26,
507,367,Catherine Campbell,Finance,Financial Analyst,Contract,2023-02-26,
515,372,Kristina Mitchell,Finance,Financial Analyst,Temporary,2022-03-20,
527,381,Darren Moore,Finance,Financial Analyst,Temporary,2025-10-09,
528,382,Brooke Harper,Finance,Financial Analyst,Part-Time,2022-06-16,
538,390,Robin Nelson,Finance,Financial Analyst,Full-Time,2022-02-26,
545,394,Ray Murphy,Finance,Financial Analyst,Full-Time,2023-08-17,
546,395,Joshua Santiago,Finance,Financial Analyst,Part-Time,2024-07-31,
561,406,Anthony Black,Finance,Financial Analyst,Full-Time,2021-12-10,
563,407,Steven Lane,Finance,Financial Analyst,Full-Time,2023-06-18,
566,410,Marie Rodriguez,Finance,Financial Analyst,Contract,2021-12-11,
580,422,Margaret Gray,Finance,Financial Analyst,Temporary,2023-04-02,
582,423,Walter Collins,Finance,Financial Analyst,Part-Time,2022-11-15,
588,427,Thomas Davis,Finance,Financial Analyst,Full-Time,2025-12-20,
589,428,Margaret Sullivan,Finance,Financial Analyst,Temporary,2020-07-22,
591,429,Stephen Allen,Finance,Financial Analyst,Contract,2027-07-08,
594,431,Danielle Dixon,Finance,Financial Analyst,Full-Time,2021-11-17,
600,436,Heather Gordon,Finance,Financial Analyst,Part-Time,2026-01-22,
613,445,Sally Johnson,Finance,Financial Analyst,Full-Time,2026-06-24,
622,450,Timothy Wise,Finance,Financial Analyst,Contract,2025-03-03,
624,451,Sarah Hall,Finance,Financial Analyst,Contract,2027-02-20,
635,458,Nathan Vance,Finance,Financial Analyst,Contract,2024-06-01,
638,460,Matthew Jackson,Finance,Financial Analyst,Temporary,2024-07-18,
641,462,Kelly Ortiz,Finance,Financial Analyst,Contract,2022-10-06,
648,468,Lisa Webb,Finance,Financial Analyst,Full-Time,2023-07-12,
668,483,Erika Nunez,Finance,Financial Analyst,Part-Time,2025-02-03,
671,485,Lisa Nguyen,Finance,Financial Analyst,Contract,2027-02-01,
674,487,Janice Ware,Finance,Financial Analyst,Temporary,2020-10-08,
688,498,Catherine Wagner,Finance,Financial Analyst,Full-Time,2020-03-15,
689,499,Brett Khan,Finance,Financial Analyst,Part-Time,2025-12-19,
18,14,Richard Dudley,Operations,Field Technician,Part-Time,2021-07-08,
30,23,Christopher Scott,Operations,Field Technician,Full-Time,2026-04-14,
44,33,Ashley Thompson,Operations,Field Technician,Temporary,2025-08-12,
74,55,Angela Dixon,Operations,Field Technician,Contract,2025-05-05,
75,56,Cheryl Branch,Operations,Field Technician,Full-Time,2020-06-04,
91,67,Anne Stevens,Operations,Field Technician,Full-Time,2027-11-08,
101,74,Joanne Dodson,Operations,Field Technician,Temporary,2024-08-18,
102,75,Jonathan Santos,Operations,Field Technician,Temporary,2026-05-13,
117,87,Jackie Carroll,Operations,Field Technician,Contract,2026-06-30,
120,90,Sharon Hunter,Operations,Field Technician,Part-Time,2022-11-13,
126,95,Stephanie Anthony,Operations,Field Technician,Contract,2024-06-23,
136,102,Andrew Hamilton,Operations,Field Technician,Part-Time,2027-01-11,
149,112,Elizabeth White,Operations,Field Technician,Part-Time,2027-06-27,
178,131,Paula Wood,Operations,Field Technician,Part-Time,2023-09-23,
188,138,Jocelyn Clarke,Operations,Field Technician,Part-Time,2025-06-23,
193,143,Alexandra Weaver,Operations,Field Technician,Contract,2025-09-22,
223,164,James Brown,Operations,Field Technician,Part-Time,2022-11-06,
231,169,John Warner,Operations,Field Technician,Contract,2026-11-19,
232,170,Michelle Kirby,Operations,Field Technician,Full-Time,2022-04-13,
284,207,Heather Williams,Operations,Field Technician,Part-Time,2024-10-20,
288,211,Erin Roberson,Operations,Field Technician,Temporary,2021-08-07,
290,213,Joshua Thomas,Operations,Field Technician,Full-Time,2025-12-03,
340,247,Brandon Hopkins,Operations,Field Technician,Part-Time,2023-09-19,
341,248,Juan Melton,Operations,Field Technician,Temporary,2026-03-08,
343,250,Cathy Ward,Operations,Field Technician,Contract,2022-01-11,
360,265,William Decker,Operations,Field Technician,Full-Time,2024-02-03,
368,271,Dwayne Parks,Operations,Field Technician,Contract,2022-09-01,
382,279,Jill Johnson,Operations,Field Technician,Temporary,2024-01-09,
384,281,Justin Long,Operations,Field Technician,Full-Time,2024-11-16,
413,302,Ashley Stevens,Operations,Field Technician,Temporary,2022-08-23,
418,306,Michael Tapia,Operations,Field Technician,Temporary,2024-10-09,
427,313,George Castaneda,Operations,Field Technician,Contract,2026-11-26,
431,316,Jennifer Myers,Operations,Field Technician,Full-Time,2023-10-06,
434,318,Johnny Cobb,Operations,Field Technician,Part-Time,2024-07-15,
441,323,Megan Esparza,Operations,Field Technician,Part-Time,2023-03-19,
450,330,Carol Williamson,Operations,Field Technician,Contract,2026-08-23,
525,379,Rebecca Scott,Operations,Field Technician,Temporary,2020-11-24,
526,380,Donna Santiago,Operations,Field Technician,Temporary,2020-11-24,
552,400,Barbara Campos,Operations,Field Technician,Part-Time,2026-06-26,
567,411,Jennifer Nicholson,Operations,Field Technician,Contract,2022-01-28,
574,416,Christine Spencer,Operations,Field Technician,Temporary,2023-10-20,
617,447,Matthew Bautista,Operations,Field Technician,Full-Time,2022-09-15,
618,448,Diana Schmidt,Operations,Field Technician,Contract,2023-04-18,
652,470,Lauren Watson,Operations,Field Technician,Part-Time,2025-10-19,
656,473,Michael Gill,Operations,Field Technician,Contract,2021-01-01,
666,481,Heather Bonilla,Operations,Field Technician,Part-Time,2027-01-31,
675,488,Jacqueline Murphy,Operations,Field Technician,Contract,2020-12-12,
4,3,Ian Lyons,Operations,Operations Manager,Temporary,2020-10-02,
7,6,Joseph Archer,Operations,Operations Manager,Temporary,2020-02-19,
55,41,Jessica Horton,Operations,Operations Manager,Temporary,2022-01-21,
60,45,Tony Hess,Operations,Operations Manager,Contract,2023-12-07,
66,49,Melissa Matthews,Operations,Operations Manager,Contract,2023-07-03,
84,63,Nathaniel Johnson,Operations,Operations Manager,Temporary,2022-04-16,
86,64,Steven White,Operations,Operations Manager,Temporary,2025-12-17,
88,65,Linda King,Operations,Operations Manager,Temporary,2023-09-11,
89,66,James Romero,Operations,Operations Manager,Contract,2022-10-04,
112,84,Raymond Santos,Operations,Operations Manager,Temporary,2025-10-03,
131,99,Sharon Johnson,Operations,Operations Manager,Part-Time,2021-03-07,
134,101,William Oconnor,Operations,Operations Manager,Temporary,2025-05-29,
138,104,Justin Hernandez,Operations,Operations Manager,Contract,2025-09-25,
140,106,Thomas Gibson,Operations,Operations Manager,Temporary,2021-01-26,
159,117,David Hughes,Operations,Operations Manager,Contract,2023-10-30,
164,121,Melissa Torres,Operations,Operations Manager,Part-Time,2021-07-08,
205,151,Chad Richardson,Operations,Operations Manager,Part-Time,2026-04-06,
220,162,Rachel Bailey,Operations,Operations Manager,Temporary,2025-09-02,
221,163,Tammy Gay,Operations,Operations Manager,Part-Time,2021-10-24,
237,173,Erin Grant,Operations,Operations Manager,Temporary,2024-04-05,
275,200,Antonio Greer,Operations,Operations Manager,Temporary,2021-01-19,
282,206,Kaitlin Garner,Operations,Operations Manager,Part-Time,2025-11-30,
289,212,Brian Hart,Operations,Operations Manager,Temporary,2025-05-28,
301,220,Mark Welch,Operations,Operations Manager,Part-Time,2022-07-31,
302,221,Jeremy Salazar,Operations,Operations Manager,Part-Time,2022-05-24,
325,237,Christopher Thornton,Operations,Operations Manager,Part-Time,2022-02-26,
327,238,Katherine Moore,Operations,Operations Manager,Contract,2025-04-28,
335,243,Donald Mclaughlin,Operations,Operations Manager,Temporary,2023-06-13,
338,245,William Mcclure,Operations,Operations Manager,Contract,2022-07-16,
344,251,Michael Smith,Operations,Operations Manager,Part-Time,2024-03-10,
352,258,Bill Johnson,Operations,Operations Manager,Part-Time,2026-11-02,
353,259,Ashley Holloway,Operations,Operations Manager,Part-Time,2022-02-15,
359,264,Jeffrey Tate,Operations,Operations Manager,Temporary,2021-04-10,
372,273,Tyler Castillo,Operations,Operations Manager,Contract,2022-01-13,
425,312,William Pace,Operations,Operations Manager,Part-Time,2020-05-17,
446,327,Misty Bailey,Operations,Operations Manager,Contract,2025-01-15,
472,344,Timothy Hill,Operations,Operations Manager,Part-Time,2024-04-25,
476,347,Amy Guerra,Operations,Operations Manager,Temporary,2021-12-11,
486,353,Amanda Preston,Operations,Operations Manager,Part-Time,2021-06-20,
584,424,Janet Douglas,Operations,Operations Manager,Contract,2027-06-13,
660,477,Diamond Garcia,Operations,Operations Manager,Temporary,2023-04-01,
105,78,Daniel Houston,Operations,Operations Manager,Full-Time,2021-07-15,
118,88,Travis Sloan,Operations,Operations Manager,Full-Time,2020-01-19,
241,176,Jerome Raymond,Operations,Operations Manager,Full-Time,2023-10-15,
250,183,Erica Moore,Operations,Operations Manager,Full-Time,2024-12-20,
269,196,Melissa Allen,Operations,Operations Manager,Full-Time,2023-07-16,
322,235,Tracy Guzman,Operations,Operations Manager,Full-Time,2023-11-08,
362,266,Matthew Alvarado,Operations,Operations Manager,Full-Time,2026-01-12,
392,286,Sandra Wilson,Operations,Operations Manager,Full-Time,2026-01-30,
396,290,John Charles,Operations,Operations Manager,Full-Time,2023-02-22,
400,292,Michelle Martinez,Operations,Operations Manager,Full-Time,2025-10-13,
401,293,Jennifer Hernandez,Operations,Operations Manager,Full-Time,2026-12-20,
451,331,Paul Taylor,Operations,Operations Manager,Full-Time,2024-01-19,
480,349,Bonnie Watts,Operations,Operations Manager,Full-Time,2025-11-16,
523,377,Andrew Cantu,Operations,Operations Manager,Full-Time,2024-07-03,
565,409,Todd Murray,Operations,Operations Manager,Full-Time,2026-09-27,
601,437,Wendy West,Operations,Operations Manager,Full-Time,2026-03-27,
639,461,Valerie Sanders,Operations,Operations Manager,Full-Time,2023-09-18,
664,480,Tonya Leon,Operations,Operations Manager,Full-Time,2022-06-19,
27,21,George Robinson,Sales,Sales Representative,Temporary,2025-01-26,
28,22,Anthony Snyder,Sales,Sales Representative,Temporary,2026-11-04,
38,29,Christopher Davis,Sales,Sales Representative,Temporary,2024-11-21,
70,53,Anthony Butler,Sales,Sales Representative,Temporary,2021-03-31,
81,60,Michele White,Sales,Sales Representative,Temporary,2026-05-06,
92,68,Cindy Coleman,Sales,Sales Representative,Temporary,2021-06-18,
96,71,Jocelyn Walker,Sales,Sales Representative,Temporary,2025-11-06,
129,97,Michael Henry,Sales,Sales Representative,Temporary,2023-02-15,
179,132,Anthony Shelton,Sales,Sales Representative,Temporary,2022-07-21,
198,146,Gabriel Baldwin,Sales,Sales Representative,Temporary,2020-05-14,
257,188,Christopher Wallace,Sales,Sales Representative,Temporary,2025-04-09,
306,224,Sara Jackson,Sales,Sales Representative,Temporary,2026-10-19,
351,257,Steven Santos,Sales,Sales Representative,Temporary,2022-02-06,
417,305,Joshua Hickman,Sales,Sales Representative,Temporary,2026-02-05,
428,314,David Thompson,Sales,Sales Representative,Temporary,2026-06-25,
457,335,Breanna Moss,Sales,Sales Representative,Temporary,2024-01-20,
503,364,Natalie Hamilton,Sales,Sales Representative,Temporary,2023-10-01,
510,369,Amanda Rodriguez,Sales,Sales Representative,Temporary,2024-09-26,
514,371,Dawn Howe,Sales,Sales Representative,Temporary,2026-01-26,
529,383,John Ryan,Sales,Sales Representative,Temporary,2020-07-17,
556,403,Travis Moore,Sales,Sales Representative,Temporary,2024-04-09,
610,443,Christy Fuller,Sales,Sales Representative,Temporary,2026-07-11,
632,456,Tammy Freeman,Sales,Sales Representative,Temporary,2027-04-17,
5,4,Wesley Lloyd,Sales,Sales Representative,Part-Time,2018-03-19,
19,15,Brenda Odom,Sales,Sales Representative,Part-Time,2018-07-02,
23,18,Karen Richardson,Sales,Sales Representative,Part-Time,2022-07-12,
46,34,Kimberly Gutierrez,Sales,Sales Representative,Part-Time,2024-09-27,
62,46,Justin Mckay,Sales,Sales Representative,Part-Time,2028-07-10,
106,79,Ashley Ramirez,Sales,Sales Representative,Part-Time,2022-01-10,
116,86,Kimberly Lee,Sales,Sales Representative,Part-Time,2021-11-18,
168,124,Brian Sanchez,Sales,Sales Representative,Part-Time,2024-04-18,
172,127,Tanya Jimenez,Sales,Sales Representative,Part-Time,2021-09-30,
186,137,Ashley Mccann,Sales,Sales Representative,Part-Time,2021-12-12,
217,160,Anna Ali,Sales,Sales Representative,Part-Time,2022-04-01,
225,165,Ralph Barron,Sales,Sales Representative,Part-Time,2021-08-09,
234,171,Derek Stewart,Sales,Sales Representative,Part-Time,2025-07-09,
236,172,Rachel Smith,Sales,Sales Representative,Part-Time,2025-12-31,
249,182,Karen Donaldson,Sales,Sales Representative,Part-Time,2020-09-05,
255,187,Joshua Thompson,Sales,Sales Representative,Part-Time,2022-04-06,
298,218,Melissa Davis,Sales,Sales Representative,Part-Time,2026-12-28,
357,262,Carol Cook,Sales,Sales Representative,Part-Time,2024-09-13,
405,296,Robert Holden,Sales,Sales Representative,Part-Time,2021-07-24,
415,304,Jill Hernandez,Sales,Sales Representative,Part-Time,2021-01-06,
484,352,Kristine Hernandez,Sales,Sales Representative,Part-Time,2027-09-26,
491,356,Lori Turner,Sales,Sales Representative,Part-Time,2025-03-19,
524,378,Jessica Hunter,Sales,Sales Representative,Part-Time,2022-12-01,
644,465,Manuel Griffith,Sales,Sales Representative,Part-Time,2026-12-26,
678,490,Gloria Maldonado,Sales,Sales Representative,Part-Time,2025-08-11,
82,61,Eric Tanner,Sales,Sales Representative,Full-Time,2026-02-28,
142,108,Shelia Beard,Sales,Sales Representative,Full-Time,2022-08-17,
143,109,Aaron Oneal,Sales,Sales Representative,Full-Time,2026-08-15,
161,118,Anita Davis,Sales,Sales Representative,Full-Time,2024-08-16,
346,253,David Kelly,Sales,Sales Representative,Full-Time,2021-08-25,
347,254,Madison Rodriguez,Sales,Sales Representative,Full-Time,2023-11-16,
349,255,Jerome Acevedo,Sales,Sales Representative,Full-Time,2025-11-01,
366,269,Savannah Rodriguez,Sales,Sales Representative,Full-Time,2026-11-03,
370,272,Pamela Henderson,Sales,Sales Representative,Full-Time,2022-06-05,
445,326,Valerie Duncan,Sales,Sales Representative,Full-Time,2024-05-13,
459,336,Colton Jones,Sales,Sales Representative,Full-Time,2027-06-05,
475,346,Joy Mcintyre,Sales,Sales Representative,Full-Time,2023-11-13,
478,348,Teresa Ware,Sales,Sales Representative,Full-Time,2025-03-25,
495,359,Thomas Skinner,Sales,Sales Representative,Full-Time,2021-08-20,
497,360,Steven Daugherty,Sales,Sales Representative,Full-Time,2025-07-26,
517,373,Casey Reeves,Sales,Sales Representative,Full-Time,2020-11-07,
533,386,Michael Olsen,Sales,Sales Representative,Full-Time,2024-01-02,
540,391,Craig Perez,Sales,Sales Representative,Full-Time,2027-02-12,
543,393,Gregory Phillips,Sales,Sales Representative,Full-Time,2023-03-10,
575,417,Donald Lopez,Sales,Sales Representative,Full-Time,2026-05-08,
576,418,Joseph Powell,Sales,Sales Representative,Full-Time,2026-01-24,
608,442,Ronald Gross,Sales,Sales Representative,Full-Time,2022-12-04,
625,452,Tyler Mccarthy,Sales,Sales Representative,Full-Time,2024-08-19,
630,455,Rachel Robinson,Sales,Sales Representative,Full-Time,2025-12-27,
633,457,Gabriel Williams,Sales,Sales Representative,Full-Time,2021-04-15,
657,474,Kendra Torres,Sales,Sales Representative,Full-Time,2021-05-23,
658,475,Justin Knox,Sales,Sales Representative,Full-Time,2021-06-29,
21,17,Debra Pratt,Sales,Sales Representative,Contract,2018-09-11,
40,30,Teresa James,Sales,Sales Representative,Contract,2026-11-14,
53,40,Ashley Brown,Sales,Sales Representative,Contract,2024-02-01,
69,52,Matthew Montgomery,Sales,Sales Representative,Contract,2021-05-14,
123,92,Ashlee Roberts,Sales,Sales Representative,Contract,2022-09-29,
137,103,Derek Martinez,Sales,Sales Representative,Contract,2024-10-15,
157,116,Nicole Brown,Sales,Sales Representative,Contract,2022-02-25,
169,125,Roberto Sanchez,Sales,Sales Representative,Contract,2021-02-08,
176,130,Stephanie Murphy,Sales,Sales Representative,Contract,2023-04-21,
208,153,John Martin,Sales,Sales Representative,Contract,2020-09-16,
226,166,Kimberly Hoover,Sales,Sales Representative,Contract,2025-08-03,
277,202,Anthony Anderson,Sales,Sales Representative,Contract,2022-01-25,
285,208,Crystal Smith,Sales,Sales Representative,Contract,2024-03-15,
311,227,Charles Jennings,Sales,Sales Representative,Contract,2025-11-05,
318,232,Jennifer Hunter,Sales,Sales Representative,Contract,2026-01-28,
332,241,Gregory Morgan,Sales,Sales Representative,Contract,2025-07-28,
337,244,Dana Rivera,Sales,Sales Representative,Contract,2027-05-30,
342,249,Meghan Williams,Sales,Sales Representative,Contract,2023-02-01,
345,252,Vickie Stevens,Sales,Sales Representative,Contract,2026-01-31,
358,263,John Hoffman,Sales,Sales Representative,Contract,2025-09-23,
404,295,Julie Carey,Sales,Sales Representative,Contract,2024-11-15,
443,325,Erica Sellers,Sales,Sales Representative,Contract,2021-04-04,
509,368,Andre Morrison,Sales,Sales Representative,Contract,2028-07-31,
519,374,Stacey Lang,Sales,Sales Representative,Contract,2025-07-04,
522,376,Michael Pugh,Sales,Sales Representative,Contract,2027-10-21,
551,399,Vincent Strickland,Sales,Sales Representative,Contract,2022-07-03,
558,404,Ethan Hodges,Sales,Sales Representative,Contract,2021-09-29,
577,419,Keith Little,Sales,Sales Representative,Contract,2022-12-05,
579,421,Anthony Curry,Sales,Sales Representative,Contract,2021-03-21,
607,441,Daniel Winters,Sales,Sales Representative,Contract,2021-10-09,
612,444,Mary Taylor,Sales,Sales Representative,Contract,2025-09-30,
637,459,Jamie Serrano,Sales,Sales Representative,Contract,2027-08-03,
663,479,Brian Marshall,Sales,Sales Representative,Contract,2021-05-21,
673,486,Randy Smith,Sales,Sales Representative,Contract,2024-09-17,
679,491,Bradley Barr,Sales,Sales Representative,Contract,2020-09-13,
680,492,Kathleen Randolph,Sales,Sales Representative,Contract,2022-07-25,
690,500,Ryan Ferrell,Sales,Sales Representative,Contract,2023-07-11,
